"tgav","year","model"
17.1407080487876,2095,"CESM2"
17.436174277813,2096,"CESM2"
17.5109215767416,2097,"CESM2"
17.2691422768091,2098,"CESM2"
17.30700014226,2099,"CESM2"
17.5122000759118,2100,"CESM2"
15.0894130231717,2015,"CESM2-WACCM"
15.1571850449995,2016,"CESM2-WACCM"
15.1790149003017,2017,"CESM2-WACCM"
15.2270451011495,2018,"CESM2-WACCM"
14.9376548734411,2019,"CESM2-WACCM"
14.9555192132371,2020,"CESM2-WACCM"
15.2323254008864,2021,"CESM2-WACCM"
15.2393175486942,2022,"CESM2-WACCM"
15.1438648798106,2023,"CESM2-WACCM"
15.2251896082582,2024,"CESM2-WACCM"
15.3868284706195,2025,"CESM2-WACCM"
15.3867862449408,2026,"CESM2-WACCM"
15.3369159159282,2027,"CESM2-WACCM"
15.5478857558048,2028,"CESM2-WACCM"
15.5692830195473,2029,"CESM2-WACCM"
15.3750086945313,2030,"CESM2-WACCM"
15.4486831869514,2031,"CESM2-WACCM"
15.5835612085973,2032,"CESM2-WACCM"
15.5310753293811,2033,"CESM2-WACCM"
15.7009010772137,2034,"CESM2-WACCM"
15.7896381960252,2035,"CESM2-WACCM"
15.5857853902166,2036,"CESM2-WACCM"
15.6760855205453,2037,"CESM2-WACCM"
15.8782269067172,2038,"CESM2-WACCM"
15.710653676044,2039,"CESM2-WACCM"
15.8567602503198,2040,"CESM2-WACCM"
15.6078936355402,2041,"CESM2-WACCM"
15.5986146881322,2042,"CESM2-WACCM"
15.9082206159775,2043,"CESM2-WACCM"
16.0348631668791,2044,"CESM2-WACCM"
16.0091019551806,2045,"CESM2-WACCM"
16.163525811598,2046,"CESM2-WACCM"
16.2249566662924,2047,"CESM2-WACCM"
16.2360493079289,2048,"CESM2-WACCM"
16.2273303741176,2049,"CESM2-WACCM"
16.209156831741,2050,"CESM2-WACCM"
16.2501703795516,2051,"CESM2-WACCM"
16.2021879459115,2052,"CESM2-WACCM"
16.0278346715717,2053,"CESM2-WACCM"
16.2374926157146,2054,"CESM2-WACCM"
16.4466678288269,2055,"CESM2-WACCM"
16.5102654465746,2056,"CESM2-WACCM"
16.3628252704725,2057,"CESM2-WACCM"
16.4059479791901,2058,"CESM2-WACCM"
16.4782763738811,2059,"CESM2-WACCM"
16.4674169714894,2060,"CESM2-WACCM"
16.5223193905362,2061,"CESM2-WACCM"
16.3907236229866,2062,"CESM2-WACCM"
16.3641352945486,2063,"CESM2-WACCM"
16.3906594623589,2064,"CESM2-WACCM"
16.3995846648354,2065,"CESM2-WACCM"
16.3360030036409,2066,"CESM2-WACCM"
16.580507155549,2067,"CESM2-WACCM"
16.7290764708631,2068,"CESM2-WACCM"
16.5296185322838,2069,"CESM2-WACCM"
16.7823518759801,2070,"CESM2-WACCM"
16.8330650102714,2071,"CESM2-WACCM"
16.6458750206484,2072,"CESM2-WACCM"
16.67888151654,2073,"CESM2-WACCM"
16.7728249629604,2074,"CESM2-WACCM"
16.8563998226579,2075,"CESM2-WACCM"
16.712320286535,2076,"CESM2-WACCM"
16.6991152837608,2077,"CESM2-WACCM"
16.8530840799639,2078,"CESM2-WACCM"
16.9811228631605,2079,"CESM2-WACCM"
16.9944565402885,2080,"CESM2-WACCM"
17.0447268126646,2081,"CESM2-WACCM"
17.0187498392663,2082,"CESM2-WACCM"
17.1142528449775,2083,"CESM2-WACCM"
17.068443280418,2084,"CESM2-WACCM"
16.8061106204991,2085,"CESM2-WACCM"
17.0092767161863,2086,"CESM2-WACCM"
17.1684477640055,2087,"CESM2-WACCM"
17.1781989593695,2088,"CESM2-WACCM"
17.1415056673392,2089,"CESM2-WACCM"
17.1445335665102,2090,"CESM2-WACCM"
17.0437624856884,2091,"CESM2-WACCM"
17.1974157779964,2092,"CESM2-WACCM"
17.1441221199956,2093,"CESM2-WACCM"
16.9542464951435,2094,"CESM2-WACCM"
17.0964949111476,2095,"CESM2-WACCM"
17.0539887328872,2096,"CESM2-WACCM"
16.9159243131809,2097,"CESM2-WACCM"
17.092636398764,2098,"CESM2-WACCM"
17.3003776235865,2099,"CESM2-WACCM"
17.3439941743248,2100,"CESM2-WACCM"
13.9377879768524,2015,"CNRM-CM6-1"
13.8957655442579,2016,"CNRM-CM6-1"
13.819420763209,2017,"CNRM-CM6-1"
14.0297729467217,2018,"CNRM-CM6-1"
14.0074255222837,2019,"CNRM-CM6-1"
14.1571999203377,2020,"CNRM-CM6-1"
14.1266405616735,2021,"CNRM-CM6-1"
14.0064740068383,2022,"CNRM-CM6-1"
14.137818208721,2023,"CNRM-CM6-1"
14.3591169097389,2024,"CNRM-CM6-1"
14.3847607689194,2025,"CNRM-CM6-1"
14.1814513205543,2026,"CNRM-CM6-1"
14.1912010910501,2027,"CNRM-CM6-1"
14.2785246590629,2028,"CNRM-CM6-1"
14.3525836197574,2029,"CNRM-CM6-1"
14.1940292553451,2030,"CNRM-CM6-1"
14.4490819734312,2031,"CNRM-CM6-1"
14.5429426197404,2032,"CNRM-CM6-1"
14.4998292193572,2033,"CNRM-CM6-1"
14.3577677550402,2034,"CNRM-CM6-1"
14.3478029998299,2035,"CNRM-CM6-1"
14.4939038461562,2036,"CNRM-CM6-1"
14.547577772854,2037,"CNRM-CM6-1"
14.4716061700701,2038,"CNRM-CM6-1"
14.5568404704725,2039,"CNRM-CM6-1"
14.5598488028337,2040,"CNRM-CM6-1"
14.4652589175111,2041,"CNRM-CM6-1"
14.7392341748108,2042,"CNRM-CM6-1"
14.7145468276518,2043,"CNRM-CM6-1"
14.9092959843275,2044,"CNRM-CM6-1"
14.8194271849824,2045,"CNRM-CM6-1"
14.7949168988368,2046,"CNRM-CM6-1"
14.8208084850123,2047,"CNRM-CM6-1"
14.7948798320766,2048,"CNRM-CM6-1"
14.9223662460631,2049,"CNRM-CM6-1"
15.0560862956199,2050,"CNRM-CM6-1"
14.8427437279676,2051,"CNRM-CM6-1"
14.9988581121885,2052,"CNRM-CM6-1"
15.1265808275267,2053,"CNRM-CM6-1"
15.0518062641223,2054,"CNRM-CM6-1"
15.0062059124741,2055,"CNRM-CM6-1"
15.0780498302364,2056,"CNRM-CM6-1"
15.1951975566056,2057,"CNRM-CM6-1"
15.013454290571,2058,"CNRM-CM6-1"
15.1722627227654,2059,"CNRM-CM6-1"
15.2042224146396,2060,"CNRM-CM6-1"
15.1794718813635,2061,"CNRM-CM6-1"
15.1755751734066,2062,"CNRM-CM6-1"
15.4347915036762,2063,"CNRM-CM6-1"
15.3039076677542,2064,"CNRM-CM6-1"
15.572047842495,2065,"CNRM-CM6-1"
15.4752006688881,2066,"CNRM-CM6-1"
15.4022321452915,2067,"CNRM-CM6-1"
15.4168379273136,2068,"CNRM-CM6-1"
15.6318422243936,2069,"CNRM-CM6-1"
15.4534408645528,2070,"CNRM-CM6-1"
15.611095111188,2071,"CNRM-CM6-1"
15.5121301702517,2072,"CNRM-CM6-1"
15.4291630769952,2073,"CNRM-CM6-1"
15.571823691143,2074,"CNRM-CM6-1"
15.6206801672802,2075,"CNRM-CM6-1"
15.6409903744519,2076,"CNRM-CM6-1"
15.6336160657523,2077,"CNRM-CM6-1"
15.8607040712904,2078,"CNRM-CM6-1"
15.7264198552441,2079,"CNRM-CM6-1"
15.7923837076427,2080,"CNRM-CM6-1"
15.6061365851452,2081,"CNRM-CM6-1"
15.7309512378899,2082,"CNRM-CM6-1"
15.6822292266383,2083,"CNRM-CM6-1"
15.9110021149332,2084,"CNRM-CM6-1"
15.9610137068383,2085,"CNRM-CM6-1"
15.9186783527204,2086,"CNRM-CM6-1"
15.7880106069969,2087,"CNRM-CM6-1"
15.8808717924409,2088,"CNRM-CM6-1"
16.0345705942343,2089,"CNRM-CM6-1"
16.171217733017,2090,"CNRM-CM6-1"
16.0904136747741,2091,"CNRM-CM6-1"
16.1518896677873,2092,"CNRM-CM6-1"
16.0544633955159,2093,"CNRM-CM6-1"
16.0734064176988,2094,"CNRM-CM6-1"
16.1910584760407,2095,"CNRM-CM6-1"
16.1662899840279,2096,"CNRM-CM6-1"
16.0311508998643,2097,"CNRM-CM6-1"
16.3739590941744,2098,"CNRM-CM6-1"
16.3030147924147,2099,"CNRM-CM6-1"
16.1012314020509,2100,"CNRM-CM6-1"
14.5638509349203,2015,"CNRM-ESM2-1"
14.6032033422056,2016,"CNRM-ESM2-1"
14.7210388226899,2017,"CNRM-ESM2-1"
14.7121566788929,2018,"CNRM-ESM2-1"
14.8890898412105,2019,"CNRM-ESM2-1"
14.5871172617057,2020,"CNRM-ESM2-1"
14.7520527546226,2021,"CNRM-ESM2-1"
14.8508156668695,2022,"CNRM-ESM2-1"
14.636560438094,2023,"CNRM-ESM2-1"
14.9390536658474,2024,"CNRM-ESM2-1"
14.9559627625174,2025,"CNRM-ESM2-1"
15.0246577925911,2026,"CNRM-ESM2-1"
14.867184927303,2027,"CNRM-ESM2-1"
14.9397630997096,2028,"CNRM-ESM2-1"
15.0055049605017,2029,"CNRM-ESM2-1"
15.0788410311668,2030,"CNRM-ESM2-1"
15.0341603534151,2031,"CNRM-ESM2-1"
14.9579990845304,2032,"CNRM-ESM2-1"
15.1951839649171,2033,"CNRM-ESM2-1"
15.078258406005,2034,"CNRM-ESM2-1"
15.0435285978893,2035,"CNRM-ESM2-1"
15.1990954754898,2036,"CNRM-ESM2-1"
15.2158058567016,2037,"CNRM-ESM2-1"
15.1350636343005,2038,"CNRM-ESM2-1"
15.170087573472,2039,"CNRM-ESM2-1"
15.2055876224258,2040,"CNRM-ESM2-1"
15.2762279936314,2041,"CNRM-ESM2-1"
15.0629160004348,2042,"CNRM-ESM2-1"
15.2658297594411,2043,"CNRM-ESM2-1"
15.2942046255054,2044,"CNRM-ESM2-1"
15.1887378520688,2045,"CNRM-ESM2-1"
15.3896903868879,2046,"CNRM-ESM2-1"
15.3588689775886,2047,"CNRM-ESM2-1"
15.5499557955077,2048,"CNRM-ESM2-1"
15.7551235126349,2049,"CNRM-ESM2-1"
15.6008353158788,2050,"CNRM-ESM2-1"
15.47201514191,2051,"CNRM-ESM2-1"
15.717022932575,2052,"CNRM-ESM2-1"
15.4940685270093,2053,"CNRM-ESM2-1"
15.5909654229811,2054,"CNRM-ESM2-1"
15.7247627585889,2055,"CNRM-ESM2-1"
15.5322465299395,2056,"CNRM-ESM2-1"
15.6296335031916,2057,"CNRM-ESM2-1"
15.6358305305468,2058,"CNRM-ESM2-1"
15.7389433467249,2059,"CNRM-ESM2-1"
15.9458211627071,2060,"CNRM-ESM2-1"
15.8950706933561,2061,"CNRM-ESM2-1"
15.8626893236079,2062,"CNRM-ESM2-1"
